event,datetime,currency,actual,forecast,surprise_dir,move_1h,correct_dir_1h,move_2h,correct_dir_2h,move_4h,correct_dir_4h,move_8h,correct_dir_8h,move_24h,correct_dir_24h,move_48h,correct_dir_48h
ISM Manufacturing PMI,2007-01-03 15:00:00,USD,51.4,51.0,-1,1.0,False,-7.5,True,-8.5,True,-9.100000000000023,True,-8.5,True,-29.5,True
ISM Services PMI,2007-01-04 15:00:00,USD,57.1,58.0,1,0.0,False,-0.6000000000000227,False,-3.5,False,-6.0,False,-24.5,False,-20.5,False
Pending Home Sales m/m,2007-01-04 15:00:00,USD,-0.5,0.0,1,0.0,False,-0.6000000000000227,False,-3.5,False,-6.0,False,-24.5,False,-20.5,False
Non-Farm Employment Change,2007-01-05 13:30:00,USD,167.0,115.0,-1,-17.5,True,-21.5,True,-21.5,True,-18.0,True,-16.0,True,-16.600000000000023,True
Trade Balance,2007-01-10 13:30:00,USD,-58.2,-60.0,-1,-5.7000000000000455,True,-3.7000000000000455,True,-1.0,True,-1.5,True,-0.5,True,5.399999999999977,False
Core Retail Sales m/m,2007-01-12 13:30:00,USD,1.0,0.5,-1,5.0,False,5.399999999999977,False,12.5,False,14.299999999999955,False,14.0,False,11.299999999999955,False
Retail Sales m/m,2007-01-12 13:30:00,USD,0.9,0.6,-1,5.0,False,5.399999999999977,False,12.5,False,14.299999999999955,False,14.0,False,11.299999999999955,False
PPI m/m,2007-01-17 13:30:00,USD,0.9,0.6,-1,5.600000000000023,False,9.100000000000023,False,12.100000000000023,False,10.600000000000023,False,15.0,False,11.100000000000023,False
TIC Long-Term Purchases,2007-01-17 14:00:00,USD,68.4,82.5,1,5.600000000000023,True,9.100000000000023,True,12.100000000000023,True,10.600000000000023,True,15.0,True,11.100000000000023,True
CPI y/y,2007-01-18 13:30:00,USD,2.5,2.3,-1,3.0,False,-0.39999999999997726,True,-2.3999999999999773,True,-5.5,True,-4.0,True,5.100000000000023,False
Prelim UoM Consumer Sentiment,2007-01-19 15:00:00,USD,98.0,92.5,-1,1.6000000000000227,False,3.3999999999999773,False,4.899999999999977,False,4.600000000000023,False,7.600000000000023,False,13.899999999999977,False
Existing Home Sales,2007-01-25 15:00:00,USD,6.22,6.25,1,-0.7000000000000455,False,-3.1000000000000227,False,-5.5,False,-7.600000000000023,False,-8.100000000000023,False,-7.0,False
Core Durable Goods Orders m/m,2007-01-26 13:30:00,USD,2.3,0.5,-1,3.5,False,3.8999999999999773,False,2.8999999999999773,False,4.2999999999999545,False,3.5,False,2.8999999999999773,False
New Home Sales,2007-01-26 15:00:00,USD,1120.0,1050.0,-1,-1.8999999999999773,True,-2.2999999999999545,True,-2.7999999999999545,True,-0.5,True,-1.2999999999999545,True,-2.2999999999999545,True
CB Consumer Confidence,2007-01-30 15:00:00,USD,110.3,110.5,1,1.1000000000000227,True,0.5,True,1.0,True,2.3999999999999773,True,10.100000000000023,True,12.899999999999977,True
Advance GDP q/q,2007-01-31 13:30:00,USD,3.5,3.0,-1,6.399999999999977,False,9.0,False,5.399999999999977,False,7.899999999999977,False,15.799999999999955,False,1.2999999999999545,False
Core PCE Price Index m/m,2007-02-01 13:30:00,USD,0.1,0.2,1,3.2999999999999545,True,0.5,True,-1.5,False,-0.6000000000000227,False,-9.5,False,-7.0,False
ISM Manufacturing PMI,2007-02-01 15:00:00,USD,49.3,51.6,1,-0.8999999999999773,False,-2.1000000000000227,False,-0.6000000000000227,False,-1.6000000000000227,False,-12.600000000000023,False,-8.5,False
Pending Home Sales m/m,2007-02-01 15:00:00,USD,4.9,2.2,-1,-0.8999999999999773,True,-2.1000000000000227,True,-0.6000000000000227,True,-1.6000000000000227,True,-12.600000000000023,True,-8.5,True
Non-Farm Employment Change,2007-02-02 13:30:00,USD,111.0,146.0,1,-8.399999999999977,False,-10.100000000000023,False,-11.5,False,-8.899999999999977,False,-6.0,False,-2.8999999999999773,False
Unemployment Rate,2007-02-02 13:30:00,USD,4.6,4.5,-1,-8.399999999999977,True,-10.100000000000023,True,-11.5,True,-8.899999999999977,True,-6.0,True,-2.8999999999999773,True
ISM Services PMI,2007-02-05 15:00:00,USD,59.0,56.8,-1,0.8999999999999773,False,1.0,False,1.0,False,-1.5,True,1.8999999999999773,False,4.0,False
Trade Balance,2007-02-13 13:30:00,USD,-61.2,-59.5,1,1.2000000000000455,True,-2.599999999999909,False,-2.5,False,-2.099999999999909,False,0.7000000000000455,True,0.3000000000000682,True
Core Retail Sales m/m,2007-02-14 13:30:00,USD,0.3,0.4,1,-0.7000000000000455,False,0.5,True,0.09999999999990905,True,1.2999999999999545,True,-1.400000000000091,False,-2.5,False
Retail Sales m/m,2007-02-14 13:30:00,USD,0.0,0.3,1,-0.7000000000000455,False,0.5,True,0.09999999999990905,True,1.2999999999999545,True,-1.400000000000091,False,-2.5,False
TIC Long-Term Purchases,2007-02-15 14:00:00,USD,15.6,60.0,1,-2.7000000000000455,False,-2.3999999999999773,False,-3.2999999999999545,False,0.6000000000000227,True,-3.2999999999999545,False,1.7999999999999545,True
Prelim UoM Consumer Sentiment,2007-02-16 15:00:00,USD,93.3,96.5,1,0.6000000000000227,True,3.1000000000000227,True,4.0,True,4.600000000000023,True,6.199999999999932,True,-7.5,False
CPI y/y,2007-02-21 13:30:00,USD,2.1,2.0,-1,2.7000000000000455,False,3.400000000000091,False,16.5,False,20.5,False,18.40000000000009,False,27.40000000000009,False
Core CPI m/m,2007-02-21 13:30:00,USD,0.3,0.2,-1,2.7000000000000455,False,3.400000000000091,False,16.5,False,20.5,False,18.40000000000009,False,27.40000000000009,False
Core Durable Goods Orders m/m,2007-02-27 13:30:00,USD,-3.1,-0.2,1,-3.2999999999999545,False,-2.7999999999999545,False,3.0,True,-17.200000000000045,False,-12.299999999999955,False,-9.200000000000045,False
CB Consumer Confidence,2007-02-27 15:00:00,USD,112.5,109.0,-1,2.0,False,10.0,False,1.2999999999999545,False,-10.600000000000023,True,-11.0,True,-5.7000000000000455,True
Existing Home Sales,2007-02-27 15:00:00,USD,6.46,6.25,-1,2.0,False,10.0,False,1.2999999999999545,False,-10.600000000000023,True,-11.0,True,-5.7000000000000455,True
Prelim GDP q/q,2007-02-28 13:30:00,USD,2.2,2.4,1,-5.899999999999977,False,-9.399999999999977,False,-7.0,False,-4.5,False,-4.5,False,-21.899999999999977,False
New Home Sales,2007-02-28 15:00:00,USD,937.0,1080.0,1,-4.7999999999999545,False,-3.2999999999999545,False,-0.7000000000000455,False,0.10000000000002274,True,1.7999999999999545,True,-21.799999999999955,False
Core PCE Price Index m/m,2007-03-01 13:30:00,USD,0.3,0.2,-1,-0.8999999999999773,True,0.7999999999999545,False,-6.2000000000000455,True,-6.2000000000000455,True,-18.799999999999955,True,-31.299999999999955,True
ISM Manufacturing PMI,2007-03-01 15:00:00,USD,52.3,50.0,-1,-1.400000000000091,True,-2.7000000000000455,True,-8.200000000000045,True,-8.200000000000045,True,-20.5,True,-32.10000000000002,True
ISM Services PMI,2007-03-05 15:00:00,USD,54.3,57.2,1,4.7999999999999545,True,2.0,True,0.599999999999909,True,-0.900000000000091,False,5.5,True,12.099999999999909,True
Pending Home Sales m/m,2007-03-06 15:00:00,USD,-4.1,-2.2,1,-1.0,False,2.2999999999999545,True,1.5,True,3.099999999999909,True,6.5,True,8.5,True
Non-Farm Employment Change,2007-03-09 13:30:00,USD,97.0,100.0,1,-0.7000000000000455,False,-4.100000000000023,False,-2.900000000000091,False,-4.5,False,-1.0,False,-4.100000000000023,False
Trade Balance,2007-03-09 13:30:00,USD,-59.1,-59.5,-1,-0.7000000000000455,True,-4.100000000000023,True,-2.900000000000091,True,-4.5,True,-1.0,True,-4.100000000000023,True
Unemployment Rate,2007-03-09 13:30:00,USD,4.5,4.6,1,-0.7000000000000455,False,-4.100000000000023,False,-2.900000000000091,False,-4.5,False,-1.0,False,-4.100000000000023,False
Core Retail Sales m/m,2007-03-13 12:30:00,USD,-0.1,0.3,1,3.8999999999999773,True,3.5,True,1.8999999999999773,True,-4.0,False,-4.100000000000023,False,1.0,True
Retail Sales m/m,2007-03-13 12:30:00,USD,0.1,0.3,1,3.8999999999999773,True,3.5,True,1.8999999999999773,True,-4.0,False,-4.100000000000023,False,1.0,True
PPI m/m,2007-03-15 12:30:00,USD,1.3,0.4,-1,0.39999999999997726,False,3.0,False,1.3999999999999773,False,0.8999999999999773,False,7.2999999999999545,False,8.799999999999955,False
TIC Long-Term Purchases,2007-03-15 13:00:00,USD,97.4,46.5,-1,0.39999999999997726,False,3.0,False,1.3999999999999773,False,0.8999999999999773,False,7.2999999999999545,False,8.799999999999955,False
CPI y/y,2007-03-16 12:30:00,USD,2.4,2.3,-1,1.8999999999999773,False,3.0,False,2.6000000000000227,False,2.1000000000000227,False,2.6000000000000227,False,7.100000000000023,False
Prelim UoM Consumer Sentiment,2007-03-16 14:00:00,USD,88.8,90.0,1,1.1000000000000227,True,-1.2000000000000455,False,-0.39999999999997726,False,1.7999999999999545,True,1.5,True,5.100000000000023,True
Existing Home Sales,2007-03-23 14:00:00,USD,6.69,6.34,-1,-5.5,True,-6.0,True,-6.2999999999999545,True,-5.100000000000023,True,-0.7999999999999545,True,-0.5,True
New Home Sales,2007-03-26 14:00:00,USD,848.0,985.0,1,2.0,True,2.8999999999999773,True,3.099999999999909,True,3.8999999999999773,True,4.399999999999977,True,6.899999999999977,True
CB Consumer Confidence,2007-03-27 14:00:00,USD,107.2,109.0,1,-0.10000000000002274,False,-1.2000000000000455,False,-1.8000000000000682,False,-0.10000000000002274,False,2.2999999999999545,True,-4.600000000000023,False
Core Durable Goods Orders m/m,2007-03-28 12:30:00,USD,-0.1,1.8,1,1.2000000000000455,True,0.7000000000000455,True,-1.2999999999999545,False,0.5,True,-5.899999999999977,False,-3.8999999999999773,False
Core PCE Price Index m/m,2007-03-30 12:30:00,USD,0.3,0.2,-1,1.6000000000000227,False,-1.0,True,2.6000000000000227,False,0.6000000000000227,False,-5.199999999999932,True,4.0,False
ISM Manufacturing PMI,2007-04-02 14:00:00,USD,50.9,51.3,1,-4.599999999999909,False,-4.099999999999909,False,0.40000000000009095,True,1.2000000000000455,True,2.0,True,10.600000000000023,True
