date,type,fvg_size_pips,rsi_at_entry,atr_at_entry,momentum_ratio,news_bias,LABEL_WIN
2004-07-21 14:00:00,0,0.7,29.59,1.03,2.46,0,1
2004-07-29 17:00:00,0,0.3,54.29,1.49,2.55,0,1
2004-08-24 16:00:00,1,0.5,34.89,1.3,1.87,0,1
2004-08-20 10:00:00,1,0.3,49.98,0.56,1.29,0,0
2004-08-23 16:00:00,1,1.5,43.04,0.82,8.82,0,0
2004-09-29 17:00:00,1,1.2,61.19,1.06,3.01,0,1
2004-11-09 15:00:00,1,0.4,56.16,0.79,2.36,0,1
2004-11-15 16:00:00,1,0.8,38.04,0.85,3.28,0,1
2004-12-08 08:00:00,1,0.3,19.69,1.04,3.33,0,0
2004-11-30 01:00:00,1,0.1,51.03,1.08,3.62,0,0
2004-12-13 19:00:00,0,0.6,61.53,1.24,1.48,0,1
2004-12-29 14:00:00,1,0.3,17.68,0.59,1.39,0,0
2005-01-10 09:00:00,0,3.7,54.37,0.76,4.36,0,0
2005-01-12 14:00:00,0,0.9,65.28,0.81,1.68,0,0
2005-02-17 17:00:00,1,0.3,64.01,0.96,1.21,0,1
2005-02-24 01:00:00,1,0.4,51.69,1.04,2.43,0,1
2005-03-01 16:00:00,1,1.0,27.34,0.92,6.46,0,0
2005-03-10 11:00:00,1,0.8,43.88,0.77,1.97,0,1
2005-04-20 17:00:00,1,0.7,70.06,1.1,1.22,0,0
2005-06-13 03:00:00,1,2.2,53.98,1.11,5.82,0,1
2005-07-14 15:00:00,0,0.5,50.06,0.62,4.44,0,1
2005-08-17 17:00:00,1,0.3,22.06,1.09,1.84,0,0
2005-08-29 18:00:00,0,0.6,44.1,0.91,1.2,0,1
2005-08-31 14:00:00,0,0.7,45.24,0.69,1.51,0,0
2005-09-22 12:00:00,1,0.7,60.59,1.17,1.64,0,1
2005-09-26 13:00:00,1,0.2,39.23,0.86,1.12,0,1
2005-09-27 16:00:00,1,1.0,37.73,1.16,3.15,0,0
2005-10-31 16:00:00,1,0.5,24.14,1.14,1.38,0,0
2005-10-28 14:00:00,1,0.1,35.69,0.68,1.49,0,0
2005-11-08 15:00:00,0,4.4,74.44,0.83,8.77,0,0
2005-11-15 17:00:00,1,1.3,51.87,0.89,3.04,0,1
2005-11-18 15:00:00,1,0.1,51.87,1.41,1.18,0,1
2005-11-28 17:00:00,1,0.1,63.46,1.91,1.19,0,0
2005-12-14 19:00:00,1,1.2,26.67,2.35,1.68,0,0
2005-12-14 16:00:00,1,0.2,35.87,1.86,1.35,0,1
2005-12-16 14:00:00,0,2.0,59.44,2.58,1.65,0,1
2006-01-11 15:00:00,1,1.0,55.39,1.85,1.27,0,1
2006-01-12 23:00:00,1,0.4,45.24,1.68,1.75,0,1
2006-01-17 18:00:00,1,2.5,57.45,2.61,1.52,0,0
2006-01-18 08:00:00,1,1.2,39.22,2.62,1.03,0,0
2006-01-25 16:00:00,1,2.4,54.78,1.79,1.46,0,1
2006-02-06 18:00:00,1,1.4,48.48,1.39,3.39,0,0
2006-02-17 12:00:00,0,0.2,64.04,1.42,1.22,0,0
2006-03-07 19:00:00,0,1.0,36.23,2.1,2.6,0,1
2006-03-16 16:00:00,1,0.5,39.97,1.7,1.02,0,0
2006-03-17 02:00:00,1,1.5,53.21,2.14,1.71,0,0
2006-04-04 14:00:00,1,1.5,55.62,1.38,1.21,0,0
2006-04-20 16:00:00,1,2.2,28.75,4.84,1.75,0,0
2006-04-27 12:00:00,1,1.4,39.31,2.29,3.44,0,0
2006-04-27 19:00:00,1,3.1,44.52,4.02,1.43,0,1
2006-05-10 14:00:00,1,0.5,50.6,1.81,1.34,0,0
2006-05-17 17:00:00,1,7.5,37.11,6.52,2.23,0,0
2006-06-05 17:00:00,0,0.7,58.26,2.35,1.96,0,1
2006-06-23 18:00:00,0,1.0,52.33,3.29,1.15,0,0
2006-06-29 16:00:00,0,4.0,71.87,1.68,2.33,0,0
2006-07-19 11:00:00,1,2.5,28.5,2.75,1.65,0,0
2006-07-31 16:00:00,1,0.5,43.74,2.65,3.8,0,1
2006-08-02 18:00:00,1,1.3,54.72,2.98,3.01,0,1
2006-08-21 23:00:00,0,3.1,73.66,1.89,3.96,0,1
2006-09-26 02:00:00,0,0.7,61.47,2.8,4.3,0,1
2006-09-22 02:00:00,0,0.4,67.45,2.55,1.22,0,0
2006-10-05 12:00:00,0,3.0,53.38,2.28,1.62,0,0
2006-10-11 16:00:00,0,2.4,65.63,2.02,2.17,0,0
2006-10-11 19:00:00,0,0.7,44.72,2.61,1.14,0,0
2006-10-31 19:00:00,1,1.0,56.57,2.59,1.95,0,1
2006-11-15 12:00:00,1,0.5,29.64,1.33,1.38,0,0
2006-12-06 19:00:00,1,11.3,26.31,2.54,5.89,0,0
2006-12-08 14:00:00,0,0.4,63.29,1.44,1.12,0,0
2007-01-26 12:00:00,1,3.0,32.47,1.29,1.65,-2,1
2007-02-02 15:00:00,1,0.1,31.21,1.93,4.35,0,0
2007-02-08 12:00:00,1,0.5,36.34,0.99,1.39,0,0
2007-02-20 16:00:00,1,1.1,16.96,2.17,4.52,0,0
2007-02-16 08:00:00,1,0.7,41.9,1.2,1.04,1,0
2007-03-12 19:00:00,0,0.4,47.97,2.31,1.31,0,0
2007-04-17 08:00:00,1,1.5,51.07,1.63,1.07,1,0
2007-05-04 14:00:00,0,1.6,80.53,1.1,3.5,1,0
2007-04-30 14:00:00,0,1.0,53.67,1.3,2.01,1,1
2007-05-08 20:00:00,1,0.3,43.06,1.64,1.46,0,0
2007-05-15 14:00:00,0,0.2,55.44,1.55,1.48,1,0
2007-05-31 07:00:00,0,1.1,61.42,0.87,2.33,1,0
2007-07-05 16:00:00,1,1.6,20.24,1.26,2.21,-1,0
2007-07-06 22:00:00,0,2.6,71.57,1.91,5.72,-1,0
2007-07-13 14:00:00,1,0.2,57.11,0.9,1.75,1,1
2007-07-26 14:00:00,1,3.6,20.67,1.63,4.45,2,0
2007-07-25 11:00:00,1,1.6,35.64,1.27,7.13,1,0
2007-08-09 14:00:00,1,0.4,17.56,1.79,2.05,0,0
2007-08-07 15:00:00,1,0.7,40.55,1.1,1.37,0,1
2007-10-01 18:00:00,1,1.1,63.2,2.25,1.62,1,0
2007-10-05 14:00:00,1,5.5,39.19,1.76,2.94,-1,1
2007-11-28 06:00:00,1,0.1,31.07,3.69,5.38,2,0
2007-12-03 17:00:00,0,2.9,48.92,3.26,1.33,-1,0
2007-12-13 16:00:00,1,5.4,22.29,3.19,2.3,-3,0
2008-01-16 16:00:00,1,6.2,34.3,6.34,2.01,-1,0
2008-01-21 09:00:00,1,4.8,40.1,3.24,2.15,0,0
2008-03-10 13:00:00,1,1.2,30.76,3.24,4.35,0,1
2008-03-25 03:00:00,0,3.1,58.3,5.11,2.27,1,0
2008-04-08 02:00:00,0,0.2,62.68,3.84,1.14,1,1
2008-04-18 13:00:00,1,1.6,23.77,3.44,1.02,0,0
2008-04-24 12:00:00,0,1.0,38.44,2.84,2.23,0,1
2008-04-30 14:00:00,0,3.1,47.79,3.12,2.63,-2,0
2008-06-02 17:00:00,0,1.0,65.76,4.24,1.01,-1,1
2008-06-09 14:00:00,1,0.5,52.62,3.04,2.23,-1,0
2008-06-16 14:00:00,0,4.9,72.81,3.68,1.83,-1,0
2008-06-23 14:00:00,1,7.9,21.65,4.05,2.53,0,0
2008-07-16 17:00:00,1,2.7,38.33,4.89,3.51,-1,0
2008-07-17 20:00:00,1,4.0,38.24,6.1,3.29,-1,0
2008-08-27 14:00:00,1,1.4,54.99,3.07,2.23,-1,0
